Well,average_frequency_b.sgy,average_ksi.sgy,average_time.sgy,both_stau.sgy,both_stime.sgy,difr smax dev reflect.sgy,ksi_psi.sgy,KgAver300
TRAIN,-5.81844,4.86039,27.9709,0.666879,256.0,0.29435086,-0.266463,0.6716268988851285
TRAIN,-46.7278,4.3592,37.7527,0.665059,253.0,0.3077221,-0.428867,0.6196168581382566
TRAIN,-29.798,4.00709,36.4152,0.663876,200.0,0.28229803,-0.564425,0.6196168581382566
TRAIN,-5.36019,4.48455,34.9223,0.668653,252.0,0.2761629,-0.367396,0.6196168581382566
TRAIN,-1.231,7.81459,32.3898,0.666656,255.0,0.24690348,-0.500943,0.6101926457741544
TRAIN,-25.1575,7.77169,30.1323,0.665326,254.0,0.24693121,-0.476868,0.6070460778585492
TRAIN,-25.6602,6.60075,33.9999,0.669185,254.0,0.2685089,-0.339936,0.6394074590805869
TRAIN,-39.3957,6.05541,39.585,0.663496,253.0,0.27542934,-0.439702,0.6445082982411658
TRAIN,-6.76997,7.14033,32.972,0.664679,253.0,0.2660568,-0.35516,0.6512686114505827
TRAIN,-4.25096,7.49071,33.1349,0.668251,253.0,0.3002092,-0.43972,0.6708490206994248
TRAIN,-13.1813,6.58777,33.7979,0.664991,255.0,0.23719081,-0.444922,0.5920363001789802
TRAIN,-17.8713,6.49083,32.4691,0.662841,254.0,0.26794338,-0.432186,0.6943245506326723
TRAIN,-1.38753,6.90309,30.8604,0.666431,255.0,0.21374764,-0.407077,0.6101926457741544
TRAIN,-26.1704,6.52857,33.0026,0.669305,255.0,0.41938078,-0.328169,0.6699065669080279
TRAIN,-24.3955,6.90037,31.8901,0.669181,254.0,0.31113356,-0.33247,0.6415156515451509
TRAIN,-17.399,6.7943,33.0336,0.664113,254.0,0.28456187,-0.340795,0.6512686114505827
TRAIN,-17.2253,6.2856,32.5643,0.663679,255.0,0.26192355,-0.295712,0.6616538092247071
TRAIN,-23.7846,3.99444,33.5018,0.663325,203.0,0.24729714,-0.388018,0.6616538092247071
TRAIN,-1.92134,7.01742,35.9987,0.665979,255.0,0.26345924,-0.201165,0.6616538092247071
TRAIN,-16.0862,3.76755,43.021,0.666837,203.0,0.25261268,-0.479974,0.5752023872898825
TRAIN,-12.3661,4.94647,41.8315,0.664999,162.0,0.2849533,-0.481551,0.6616538092247071
TRAIN,-18.0408,3.72479,35.6295,0.667822,203.0,0.27655834,-0.487918,0.5642523186482744
TRAIN,-11.653,3.95845,38.0731,0.669121,202.0,0.29800442,-0.451654,0.566431672283215
TRAIN,-8.71331,3.26742,33.7118,0.665687,255.0,0.26121712,-0.355701,0.5716730477039988
TRAIN,-14.5029,3.48218,31.9477,0.661213,255.0,0.27799696,-0.329386,0.5695998461185731
TRAIN,-13.3201,3.35917,32.3727,0.665344,203.0,0.29860967,-0.443826,0.6616538092247071
TRAIN,-19.7795,4.45876,28.1176,0.672192,255.0,0.24102578,-0.311998,0.6248291635343607
TRAIN,-37.1146,4.16489,29.5282,0.665831,255.0,0.23918585,-0.392105,0.639444998240501
TRAIN,-22.994,4.19517,37.0223,0.6634,255.0,0.2292654,-0.38757,0.654104940136864
TRAIN,-16.4365,4.64777,43.5491,0.66664,256.0,0.23062848,-0.332015,0.6611213379583705
TRAIN,-42.6955,3.10646,46.2427,0.666498,202.0,0.28377548,-0.548936,0.6616538092247071
TRAIN,-17.0789,4.31966,35.1,0.672576,223.0,0.2672029,-0.386359,0.2564421782480703
TRAIN,-13.515,5.55199,38.252,0.667345,252.0,0.2376095,-0.346873,0.3601994244278571
TRAIN,-4.34513,6.451,35.4887,0.666244,253.0,0.22306061,-0.234929,0.2564421782480703
TRAIN,-11.4756,7.62354,29.0321,0.669559,255.0,0.2673905,-0.360383,0.6288482178847081
TRAIN,1.21078,8.47786,31.867,0.666637,255.0,0.24837768,-0.410487,0.2564421782480703
TRAIN,-36.0798,6.26616,27.1214,0.668158,255.0,0.22921956,-0.305761,0.6248291635343607
TRAIN,-5.51698,5.78449,34.4763,0.671136,253.0,0.23245157,-0.343873,0.3601994244278571
TRAIN,-5.51743,3.99076,34.4297,0.667385,182.0,0.35300884,-0.319647,0.6862317144889565
TRAIN,-13.8071,5.49945,36.5759,0.665233,179.0,0.33276296,-0.334874,0.916
TRAIN,-4.62224,5.14126,33.1112,0.66632,167.0,0.336763,-0.41344,0.6862317144889565
TRAIN,24.5327,4.3244,30.6073,0.663497,255.0,0.32122633,-0.177063,0.6862317144889565
TRAIN,-11.0836,4.37898,25.271,0.666343,174.0,0.3398816,-0.350133,0.6862317144889565
TRAIN,12.2469,6.41359,27.3382,0.662173,173.0,0.34906396,-0.406837,0.6862317144889565
TRAIN,7.05108,5.56766,32.233,0.671558,172.0,0.3615484,-0.224133,0.6862317144889565
TRAIN,-15.0472,6.37325,26.5319,0.662906,173.0,0.3075871,-0.490077,0.6862317144889565
TRAIN,6.04479,4.48172,25.7588,0.664272,176.0,0.34451893,-0.277075,0.7778971861471862
TRAIN,-4.75468,4.83756,28.159,0.66956,174.0,0.34519115,-0.261537,0.6862317144889565
TRAIN,-8.93553,6.9312,26.8268,0.66697,161.0,0.3528139,-0.540082,0.7778971861471862
TRAIN,-12.149,4.61433,27.3301,0.66585,175.0,0.3502618,-0.301595,0.7778971861471862
TRAIN,-12.3603,5.13912,33.8503,0.661326,172.0,0.42987806,-0.571317,0.7778971861471862
TRAIN,-43.8845,6.03502,31.8323,0.667677,183.0,0.3589212,-0.406286,0.7778971861471862
TRAIN,6.80932,6.86023,31.8644,0.666525,158.0,0.37275672,-0.395891,0.7778971861471862
TRAIN,7.00686,7.23855,30.9374,0.660871,158.0,0.31965476,-0.385581,0.8152735003092146
TRAIN,3.38818,7.05595,33.7362,0.667947,159.0,0.3668591,-0.440015,0.7778971861471862
TRAIN,7.74591,6.7047,28.9921,0.665235,162.0,0.3753769,-0.42641,0.8152735003092146
TRAIN,5.10769,7.35264,34.5465,0.663613,161.0,0.38604283,-0.406068,0.8152735003092146
TRAIN,4.37193,7.96021,31.4358,0.665654,162.0,0.3632231,-0.463002,0.8152735003092146
TRAIN,-5.54713,4.8362,29.9815,0.670888,176.0,0.40013948,-0.327648,0.8152735003092146
TRAIN,-5.66213,7.34746,34.9083,0.66839,163.0,0.3267985,-0.399016,0.8152735003092146
TRAIN,-23.9273,8.31463,26.3722,0.663573,164.0,0.36398238,-0.527584,0.8793098711633194
TRAIN,-21.6654,5.73866,24.1937,0.665425,176.0,0.37684414,-0.420003,0.8152735003092146
TRAIN,-9.56354,6.27862,24.0861,0.667885,176.0,0.37063166,-0.371623,0.8793098711633194
TRAIN,-26.7156,7.29596,27.8099,0.661898,160.0,0.37891603,-0.429279,0.8793098711633194
TRAIN,-0.858754,5.19217,31.9334,0.657692,257.0,0.33816954,-0.372794,0.8793098711633194
TRAIN,-24.0767,6.22067,25.2173,0.663587,163.0,0.33121282,-0.475199,0.8793098711633194
TRAIN,-24.168,5.33587,26.9629,0.666567,190.0,0.34865132,-0.37887,0.8793098711633194
TRAIN,-11.0057,7.43767,31.2391,0.665103,162.0,0.29834506,-0.472775,0.8793098711633194
TRAIN,-2.16037,5.62725,35.0692,0.658639,164.0,0.3278207,-0.433953,0.8966666666666666
TRAIN,-17.648,2.21862,37.4435,0.659888,163.0,0.52967215,-0.397921,0.8125
TRAIN,-80.8241,4.35734,39.6206,0.668545,175.0,0.5550601,-0.371742,0.6194240013655313
TRAIN,-26.8813,4.17317,35.608,0.664892,160.0,0.49322772,-0.344842,0.6194240013655313
TRAIN,-40.3916,3.43457,36.3336,0.669119,158.0,0.56935114,-0.301712,0.6194240013655313
TRAIN,-34.7631,3.83382,34.5184,0.666635,159.0,0.46946567,-0.408928,0.6194240013655313
TRAIN,-18.362,3.96238,36.3092,0.661454,159.0,0.5238073,-0.319947,0.6194240013655313
TRAIN,-11.1616,4.1145,36.4954,0.662108,159.0,0.4884809,-0.258657,0.6194240013655313
TRAIN,-36.4536,3.04788,33.0914,0.6647,160.0,0.44605955,-0.343169,0.6194240013655313
TRAIN,-32.4137,3.58043,40.0012,0.665919,158.0,0.52015495,-0.245953,0.6194240013655313
TRAIN,-9.94426,3.29369,35.4721,0.66554,157.0,0.48982516,-0.394719,0.5709659151905528
TRAIN,-26.4027,1.87258,46.0954,0.663005,159.0,0.54778755,-0.404435,0.5709659151905528
TRAIN,-36.87,3.13875,37.0874,0.665754,160.0,0.48934022,-0.2145,0.5709659151905528
TRAIN,-6.97161,3.47374,35.0754,0.667126,159.0,0.42340067,-0.316277,0.5709659151905528
TRAIN,-13.8283,3.06015,42.7814,0.662695,172.0,0.49053556,-0.365986,0.5709659151905528
TRAIN,3.41733,2.96164,36.6474,0.66883,159.0,0.5543452,-0.26714,0.5709659151905528
TRAIN,-1.91548,4.65684,36.3892,0.667882,158.0,0.57088983,-0.322748,0.7651785889429916
TRAIN,-22.8737,2.08553,33.6138,0.669296,158.0,0.5120416,-0.253812,0.7651785889429916
TRAIN,-26.6064,4.21697,45.7596,0.665354,158.0,0.5171545,-0.341114,0.7651785889429916
TRAIN,-16.6023,3.42263,41.6602,0.661457,158.0,0.45013943,-0.413826,0.7651785889429916
TRAIN,-22.5988,1.69024,39.0715,0.669972,172.0,0.5621341,-0.27744,0.7651785889429916
TRAIN,-27.2327,3.41576,39.7688,0.667262,214.0,0.5203581,-0.369593,0.7651785889429916
TRAIN,-23.781,4.06823,42.706,0.666275,171.0,0.5221602,-0.353947,0.7651785889429916
TRAIN,4.36268,5.23796,44.2097,0.671705,215.0,0.4827696,-0.313369,0.7651785889429916
TRAIN,-43.3951,3.28995,44.7054,0.666616,213.0,0.5128881,-0.313208,0.603255764508914
TRAIN,-13.3336,3.83807,41.1511,0.668191,157.0,0.46968746,-0.388521,0.603255764508914
TRAIN,19.6542,4.41106,47.5858,0.661278,157.0,0.4759788,-0.362513,0.603255764508914
TRAIN,-22.8799,4.87064,44.9078,0.666386,157.0,0.5456018,-0.316419,0.603255764508914
